2, 1860 MHz, 6800 MHz, 249.07 W, 72
3, 1830 MHz, 6800 MHz, 244.85 W, 75
0, 1845 MHz, 6800 MHz, 183.04 W, 71
1, 1860 MHz, 6800 MHz, 232.31 W, 69
2, 1860 MHz, 6800 MHz, 251.37 W, 73
3, 1830 MHz, 6800 MHz, 194.09 W, 76
0, 1845 MHz, 6800 MHz, 216.40 W, 71
1, 1860 MHz, 6800 MHz, 246.10 W, 70
2, 1860 MHz, 6800 MHz, 253.23 W, 74
3, 1830 MHz, 6800 MHz, 242.80 W, 77
0, 1845 MHz, 6800 MHz, 217.22 W, 71
1, 1860 MHz, 6800 MHz, 245.08 W, 70
2, 1860 MHz, 6800 MHz, 247.62 W, 74
3, 1830 MHz, 6800 MHz, 244.80 W, 77
0, 1845 MHz, 6800 MHz, 181.27 W, 70
1, 1860 MHz, 6800 MHz, 245.12 W, 69
2, 1860 MHz, 6800 MHz, 246.73 W, 73
3, 1830 MHz, 6800 MHz, 219.10 W, 76
0, 1845 MHz, 6800 MHz, 213.30 W, 71
1, 1860 MHz, 6800 MHz, 243.71 W, 69
2, 1860 MHz, 6800 MHz, 209.01 W, 74
3, 1830 MHz, 6800 MHz, 193.91 W, 76
0, 1845 MHz, 6800 MHz, 215.97 W, 71
1, 1860 MHz, 6800 MHz, 242.74 W, 70
2, 1860 MHz, 6800 MHz, 244.79 W, 74
3, 1830 MHz, 6800 MHz, 239.18 W, 77
0, 1845 MHz, 6800 MHz, 216.92 W, 71
1, 1860 MHz, 6800 MHz, 247.11 W, 70
2, 1860 MHz, 6800 MHz, 245.06 W, 74
3, 1830 MHz, 6800 MHz, 241.58 W, 77
0, 1845 MHz, 6800 MHz, 215.47 W, 72
1, 1860 MHz, 6800 MHz, 247.49 W, 70
2, 1860 MHz, 6800 MHz, 249.23 W, 74
3, 1815 MHz, 6800 MHz, 206.89 W, 76
0, 1845 MHz, 6800 MHz, 216.27 W, 71
1, 1860 MHz, 6800 MHz, 200.12 W, 70
2, 1860 MHz, 6800 MHz, 227.04 W, 74
3, 1815 MHz, 6800 MHz, 224.60 W, 76
0, 1845 MHz, 6800 MHz, 216.84 W, 72
1, 1860 MHz, 6800 MHz, 245.10 W, 70
2, 1860 MHz, 6800 MHz, 252.26 W, 74
3, 1815 MHz, 6800 MHz, 237.54 W, 77
0, 1845 MHz, 6800 MHz, 218.38 W, 72
1, 1860 MHz, 6800 MHz, 246.98 W, 70
2, 1845 MHz, 6800 MHz, 253.49 W, 74
3, 1815 MHz, 6800 MHz, 239.48 W, 77
0, 1845 MHz, 6800 MHz, 219.13 W, 72
1, 1860 MHz, 6800 MHz, 247.34 W, 70
2, 1860 MHz, 6800 MHz, 246.02 W, 74
3, 1815 MHz, 6800 MHz, 237.69 W, 77
0, 1845 MHz, 6800 MHz, 218.57 W, 72
1, 1860 MHz, 6800 MHz, 246.72 W, 70
2, 1845 MHz, 6800 MHz, 253.07 W, 74
3, 1815 MHz, 6800 MHz, 238.96 W, 77
0, 1845 MHz, 6800 MHz, 221.39 W, 72
1, 1860 MHz, 6800 MHz, 247.66 W, 69
2, 1845 MHz, 6800 MHz, 253.41 W, 73
3, 1815 MHz, 6800 MHz, 239.22 W, 76
0, 1845 MHz, 6800 MHz, 185.04 W, 70
1, 1860 MHz, 6800 MHz, 251.89 W, 68
2, 1860 MHz, 6800 MHz, 242.48 W, 72
3, 1815 MHz, 6800 MHz, 232.55 W, 75
0, 1845 MHz, 6800 MHz, 219.02 W, 72
1, 1860 MHz, 6800 MHz, 248.65 W, 70
2, 1845 MHz, 6800 MHz, 250.28 W, 74
3, 1815 MHz, 6800 MHz, 239.28 W, 77
0, 1845 MHz, 6800 MHz, 216.79 W, 72
1, 1860 MHz, 6800 MHz, 248.97 W, 70
2, 1845 MHz, 6800 MHz, 253.44 W, 74
3, 1815 MHz, 6800 MHz, 237.21 W, 77
0, 1845 MHz, 6800 MHz, 219.63 W, 72
1, 1860 MHz, 6800 MHz, 250.88 W, 70
2, 1845 MHz, 6800 MHz, 221.68 W, 73
3, 1815 MHz, 6800 MHz, 225.61 W, 76
0, 1845 MHz, 6800 MHz, 218.89 W, 71
1, 1860 MHz, 6800 MHz, 249.36 W, 69
2, 1845 MHz, 6800 MHz, 212.82 W, 73
3, 1815 MHz, 6800 MHz, 219.94 W, 76
0, 1845 MHz, 6800 MHz, 181.90 W, 71
1, 1860 MHz, 6800 MHz, 249.97 W, 69
2, 1860 MHz, 6800 MHz, 217.73 W, 73
3, 1815 MHz, 6800 MHz, 220.91 W, 76
0, 1845 MHz, 6800 MHz, 186.85 W, 71
1, 1860 MHz, 6800 MHz, 199.35 W, 70
2, 1860 MHz, 6800 MHz, 223.88 W, 73
3, 1815 MHz, 6800 MHz, 228.03 W, 76
0, 1845 MHz, 6800 MHz, 198.88 W, 71
1, 1860 MHz, 6800 MHz, 198.29 W, 70
2, 1860 MHz, 6800 MHz, 227.85 W, 73
3, 1815 MHz, 6800 MHz, 238.70 W, 76
0, 1845 MHz, 6800 MHz, 217.80 W, 71
1, 1860 MHz, 6800 MHz, 199.57 W, 70
2, 1860 MHz, 6800 MHz, 248.52 W, 74
3, 1815 MHz, 6800 MHz, 188.13 W, 76
0, 1845 MHz, 6800 MHz, 222.24 W, 71
1, 1860 MHz, 6800 MHz, 225.62 W, 70
2, 1860 MHz, 6800 MHz, 188.98 W, 73
3, 1815 MHz, 6800 MHz, 175.80 W, 76
0, 1845 MHz, 6800 MHz, 176.35 W, 71
1, 1860 MHz, 6800 MHz, 251.44 W, 69
2, 1860 MHz, 6800 MHz, 192.83 W, 73
3, 1815 MHz, 6800 MHz, 196.54 W, 76
0, 1845 MHz, 6800 MHz, 199.05 W, 71
1, 1860 MHz, 6800 MHz, 199.44 W, 69
2, 1860 MHz, 6800 MHz, 223.14 W, 73
3, 1815 MHz, 6800 MHz, 238.04 W, 76
0, 1845 MHz, 6800 MHz, 221.43 W, 71
1, 1860 MHz, 6800 MHz, 215.58 W, 69
2, 1860 MHz, 6800 MHz, 249.40 W, 73
3, 1815 MHz, 6800 MHz, 238.05 W, 76
0, 1845 MHz, 6800 MHz, 220.83 W, 71
1, 1860 MHz, 6800 MHz, 249.94 W, 69
2, 1845 MHz, 6800 MHz, 252.38 W, 73
3, 1815 MHz, 6800 MHz, 198.75 W, 75
0, 1845 MHz, 6800 MHz, 220.55 W, 72
1, 1860 MHz, 6800 MHz, 241.72 W, 70
2, 1845 MHz, 6800 MHz, 254.93 W, 74
3, 1815 MHz, 6800 MHz, 238.46 W, 77
0, 1845 MHz, 6800 MHz, 220.28 W, 72
1, 1860 MHz, 6800 MHz, 244.92 W, 70
2, 1845 MHz, 6800 MHz, 247.72 W, 74
3, 1815 MHz, 6800 MHz, 243.44 W, 77
0, 1845 MHz, 6800 MHz, 220.21 W, 72
1, 1860 MHz, 6800 MHz, 249.43 W, 71
