2, 1860 MHz, 6800 MHz, 204.17 W, 71
3, 1830 MHz, 6800 MHz, 201.21 W, 73
0, 1860 MHz, 6800 MHz, 188.03 W, 70
1, 1860 MHz, 6800 MHz, 229.04 W, 67
2, 1860 MHz, 6800 MHz, 247.86 W, 71
3, 1830 MHz, 6800 MHz, 228.33 W, 73
0, 1860 MHz, 6800 MHz, 203.10 W, 70
1, 1860 MHz, 6800 MHz, 220.97 W, 67
2, 1860 MHz, 6800 MHz, 240.58 W, 72
3, 1830 MHz, 6800 MHz, 219.99 W, 73
0, 1860 MHz, 6800 MHz, 202.51 W, 70
1, 1860 MHz, 6800 MHz, 218.14 W, 67
2, 1860 MHz, 6800 MHz, 231.32 W, 72
3, 1830 MHz, 6800 MHz, 214.65 W, 73
0, 1860 MHz, 6800 MHz, 200.52 W, 70
1, 1860 MHz, 6800 MHz, 216.12 W, 67
2, 1860 MHz, 6800 MHz, 230.66 W, 72
3, 1830 MHz, 6800 MHz, 215.22 W, 74
0, 1860 MHz, 6800 MHz, 202.22 W, 70
1, 1860 MHz, 6800 MHz, 216.56 W, 67
2, 1860 MHz, 6800 MHz, 232.02 W, 72
3, 1830 MHz, 6800 MHz, 214.52 W, 74
0, 1860 MHz, 6800 MHz, 203.95 W, 70
1, 1860 MHz, 6800 MHz, 218.50 W, 67
2, 1860 MHz, 6800 MHz, 231.51 W, 72
3, 1830 MHz, 6800 MHz, 216.95 W, 74
0, 1860 MHz, 6800 MHz, 203.62 W, 70
1, 1860 MHz, 6800 MHz, 217.17 W, 67
2, 1860 MHz, 6800 MHz, 230.34 W, 72
3, 1830 MHz, 6800 MHz, 213.78 W, 74
0, 1860 MHz, 6800 MHz, 203.55 W, 70
1, 1860 MHz, 6800 MHz, 219.01 W, 67
2, 1860 MHz, 6800 MHz, 220.75 W, 71
3, 1830 MHz, 6800 MHz, 214.37 W, 73
0, 1860 MHz, 6800 MHz, 202.97 W, 70
1, 1860 MHz, 6800 MHz, 218.97 W, 66
2, 1860 MHz, 6800 MHz, 220.74 W, 70
3, 1830 MHz, 6800 MHz, 186.32 W, 73
0, 1860 MHz, 6800 MHz, 205.74 W, 69
1, 1860 MHz, 6800 MHz, 190.38 W, 66
2, 1860 MHz, 6800 MHz, 226.30 W, 71
3, 1830 MHz, 6800 MHz, 191.52 W, 73
0, 1860 MHz, 6800 MHz, 206.17 W, 69
1, 1860 MHz, 6800 MHz, 201.53 W, 67
2, 1860 MHz, 6800 MHz, 231.53 W, 71
3, 1830 MHz, 6800 MHz, 201.43 W, 74
0, 1860 MHz, 6800 MHz, 177.01 W, 70
1, 1860 MHz, 6800 MHz, 216.15 W, 67
2, 1860 MHz, 6800 MHz, 197.72 W, 72
3, 1830 MHz, 6800 MHz, 215.34 W, 74
0, 1860 MHz, 6800 MHz, 194.73 W, 70
1, 1860 MHz, 6800 MHz, 218.98 W, 67
2, 1860 MHz, 6800 MHz, 195.78 W, 72
3, 1830 MHz, 6800 MHz, 185.78 W, 74
0, 1860 MHz, 6800 MHz, 208.28 W, 70
1, 1860 MHz, 6800 MHz, 183.95 W, 67
2, 1860 MHz, 6800 MHz, 202.07 W, 72
3, 1830 MHz, 6800 MHz, 180.20 W, 74
0, 1860 MHz, 6800 MHz, 206.77 W, 70
1, 1860 MHz, 6800 MHz, 197.48 W, 67
2, 1860 MHz, 6800 MHz, 232.39 W, 71
3, 1830 MHz, 6800 MHz, 194.09 W, 74
0, 1860 MHz, 6800 MHz, 191.17 W, 70
1, 1860 MHz, 6800 MHz, 218.37 W, 66
2, 1860 MHz, 6800 MHz, 235.67 W, 71
3, 1830 MHz, 6800 MHz, 219.66 W, 73
0, 1845 MHz, 6800 MHz, 196.83 W, 70
1, 1860 MHz, 6800 MHz, 217.98 W, 67
2, 1860 MHz, 6800 MHz, 221.24 W, 72
3, 1830 MHz, 6800 MHz, 219.88 W, 74
0, 1845 MHz, 6800 MHz, 200.62 W, 70
1, 1860 MHz, 6800 MHz, 220.24 W, 68
2, 1860 MHz, 6800 MHz, 235.52 W, 72
3, 1830 MHz, 6800 MHz, 217.31 W, 75
0, 1845 MHz, 6800 MHz, 203.02 W, 71
1, 1860 MHz, 6800 MHz, 221.22 W, 68
2, 1860 MHz, 6800 MHz, 233.77 W, 72
3, 1830 MHz, 6800 MHz, 219.38 W, 75
0, 1845 MHz, 6800 MHz, 203.21 W, 71
1, 1860 MHz, 6800 MHz, 222.74 W, 68
2, 1860 MHz, 6800 MHz, 233.88 W, 72
3, 1830 MHz, 6800 MHz, 219.34 W, 75
0, 1845 MHz, 6800 MHz, 200.80 W, 71
1, 1860 MHz, 6800 MHz, 221.95 W, 68
2, 1860 MHz, 6800 MHz, 236.48 W, 73
3, 1830 MHz, 6800 MHz, 219.98 W, 75
0, 1845 MHz, 6800 MHz, 201.62 W, 71
1, 1860 MHz, 6800 MHz, 222.12 W, 68
2, 1860 MHz, 6800 MHz, 236.10 W, 73
3, 1830 MHz, 6800 MHz, 222.19 W, 75
0, 1845 MHz, 6800 MHz, 201.93 W, 71
1, 1860 MHz, 6800 MHz, 226.60 W, 68
2, 1860 MHz, 6800 MHz, 236.92 W, 73
3, 1830 MHz, 6800 MHz, 218.91 W, 75
0, 1845 MHz, 6800 MHz, 211.19 W, 71
1, 1860 MHz, 6800 MHz, 225.34 W, 68
2, 1860 MHz, 6800 MHz, 245.61 W, 73
3, 1830 MHz, 6800 MHz, 221.56 W, 75
0, 1845 MHz, 6800 MHz, 217.03 W, 71
1, 1860 MHz, 6800 MHz, 220.43 W, 68
2, 1860 MHz, 6800 MHz, 196.85 W, 73
3, 1830 MHz, 6800 MHz, 225.65 W, 75
0, 1845 MHz, 6800 MHz, 169.38 W, 70
1, 1860 MHz, 6800 MHz, 183.93 W, 68
2, 1860 MHz, 6800 MHz, 196.54 W, 72
3, 1830 MHz, 6800 MHz, 174.65 W, 75
0, 1845 MHz, 6800 MHz, 202.92 W, 71
1, 1860 MHz, 6800 MHz, 224.96 W, 68
2, 1860 MHz, 6800 MHz, 233.42 W, 72
3, 1830 MHz, 6800 MHz, 223.58 W, 74
0, 1845 MHz, 6800 MHz, 202.23 W, 70
1, 1860 MHz, 6800 MHz, 222.84 W, 68
2, 1860 MHz, 6800 MHz, 233.25 W, 72
3, 1830 MHz, 6800 MHz, 221.22 W, 75
0, 1845 MHz, 6800 MHz, 217.55 W, 71
1, 1860 MHz, 6800 MHz, 222.12 W, 68
2, 1860 MHz, 6800 MHz, 245.33 W, 73
3, 1830 MHz, 6800 MHz, 222.52 W, 75
0, 1845 MHz, 6800 MHz, 216.77 W, 71
1, 1860 MHz, 6800 MHz, 213.76 W, 68
2, 1860 MHz, 6800 MHz, 195.88 W, 73
