3, 1830 MHz, 6800 MHz, 207.05 W, 73
0, 1845 MHz, 6800 MHz, 193.57 W, 69
1, 1875 MHz, 6800 MHz, 221.30 W, 68
2, 1860 MHz, 6800 MHz, 232.04 W, 72
3, 1830 MHz, 6800 MHz, 207.44 W, 73
0, 1845 MHz, 6800 MHz, 196.27 W, 69
1, 1875 MHz, 6800 MHz, 222.32 W, 67
2, 1860 MHz, 6800 MHz, 226.69 W, 71
3, 1830 MHz, 6800 MHz, 209.23 W, 73
0, 1845 MHz, 6800 MHz, 193.61 W, 70
1, 1875 MHz, 6800 MHz, 216.45 W, 68
2, 1845 MHz, 6800 MHz, 241.62 W, 72
3, 1830 MHz, 6800 MHz, 204.37 W, 73
0, 1845 MHz, 6800 MHz, 208.70 W, 69
1, 1875 MHz, 6800 MHz, 226.86 W, 68
2, 1860 MHz, 6800 MHz, 219.97 W, 72
3, 1830 MHz, 6800 MHz, 213.79 W, 73
0, 1845 MHz, 6800 MHz, 201.68 W, 69
1, 1875 MHz, 6800 MHz, 213.73 W, 68
2, 1845 MHz, 6800 MHz, 232.90 W, 71
3, 1830 MHz, 6800 MHz, 209.31 W, 73
0, 1845 MHz, 6800 MHz, 198.17 W, 70
1, 1875 MHz, 6800 MHz, 225.63 W, 68
2, 1845 MHz, 6800 MHz, 223.96 W, 72
3, 1830 MHz, 6800 MHz, 211.24 W, 73
0, 1845 MHz, 6800 MHz, 199.79 W, 70
1, 1875 MHz, 6800 MHz, 228.82 W, 68
2, 1860 MHz, 6800 MHz, 232.15 W, 72
3, 1830 MHz, 6800 MHz, 218.82 W, 73
0, 1845 MHz, 6800 MHz, 199.49 W, 70
1, 1875 MHz, 6800 MHz, 212.71 W, 68
2, 1860 MHz, 6800 MHz, 230.08 W, 72
3, 1830 MHz, 6800 MHz, 210.64 W, 73
0, 1845 MHz, 6800 MHz, 199.87 W, 70
1, 1875 MHz, 6800 MHz, 222.36 W, 68
2, 1845 MHz, 6800 MHz, 222.04 W, 71
3, 1830 MHz, 6800 MHz, 214.20 W, 74
0, 1845 MHz, 6800 MHz, 196.59 W, 70
1, 1845 MHz, 6800 MHz, 215.57 W, 68
2, 1860 MHz, 6800 MHz, 218.53 W, 72
3, 1830 MHz, 6800 MHz, 204.71 W, 74
0, 1845 MHz, 6800 MHz, 194.25 W, 70
1, 1860 MHz, 6800 MHz, 224.54 W, 68
2, 1845 MHz, 6800 MHz, 211.78 W, 72
3, 1830 MHz, 6800 MHz, 212.75 W, 74
0, 1845 MHz, 6800 MHz, 198.95 W, 69
1, 1860 MHz, 6800 MHz, 227.26 W, 67
2, 1860 MHz, 6800 MHz, 228.50 W, 71
3, 1830 MHz, 6800 MHz, 209.88 W, 73
0, 1845 MHz, 6800 MHz, 195.26 W, 70
1, 1860 MHz, 6800 MHz, 223.05 W, 68
2, 1860 MHz, 6800 MHz, 218.89 W, 72
3, 1830 MHz, 6800 MHz, 212.98 W, 74
0, 1830 MHz, 6800 MHz, 214.92 W, 69
1, 1845 MHz, 6800 MHz, 173.23 W, 67
2, 1860 MHz, 6800 MHz, 252.27 W, 72
3, 1830 MHz, 6800 MHz, 228.32 W, 73
0, 1845 MHz, 6800 MHz, 202.83 W, 70
1, 1860 MHz, 6800 MHz, 210.36 W, 68
2, 1845 MHz, 6800 MHz, 232.18 W, 72
3, 1830 MHz, 6800 MHz, 215.96 W, 74
0, 1845 MHz, 6800 MHz, 133.62 W, 69
1, 1860 MHz, 6800 MHz, 183.37 W, 67
2, 1860 MHz, 6800 MHz, 139.79 W, 72
3, 1830 MHz, 6800 MHz, 135.04 W, 73
0, 1845 MHz, 6800 MHz, 205.54 W, 70
1, 1860 MHz, 6800 MHz, 216.77 W, 68
2, 1860 MHz, 6800 MHz, 231.28 W, 72
3, 1830 MHz, 6800 MHz, 220.82 W, 74
0, 1845 MHz, 6800 MHz, 147.66 W, 68
1, 1860 MHz, 6800 MHz, 168.22 W, 66
2, 1860 MHz, 6800 MHz, 132.37 W, 70
3, 1830 MHz, 6800 MHz, 119.95 W, 72
0, 1845 MHz, 6800 MHz, 205.37 W, 70
1, 1860 MHz, 6800 MHz, 203.70 W, 68
2, 1845 MHz, 6800 MHz, 224.43 W, 72
3, 1830 MHz, 6800 MHz, 216.31 W, 74
0, 1815 MHz, 6800 MHz, 199.12 W, 70
1, 1860 MHz, 6800 MHz, 195.61 W, 67
2, 1845 MHz, 6800 MHz, 227.17 W, 70
3, 1830 MHz, 6800 MHz, 220.38 W, 72
0, 1845 MHz, 6800 MHz, 206.35 W, 70
1, 1860 MHz, 6800 MHz, 221.65 W, 68
2, 1845 MHz, 6800 MHz, 226.57 W, 72
3, 1830 MHz, 6800 MHz, 217.82 W, 74
0, 1845 MHz, 6800 MHz, 199.09 W, 70
1, 1860 MHz, 6800 MHz, 224.03 W, 68
2, 1845 MHz, 6800 MHz, 228.24 W, 72
3, 1830 MHz, 6800 MHz, 206.48 W, 74
0, 1845 MHz, 6800 MHz, 202.76 W, 70
1, 1860 MHz, 6800 MHz, 216.78 W, 68
2, 1860 MHz, 6800 MHz, 236.80 W, 73
3, 1830 MHz, 6800 MHz, 206.00 W, 74
0, 1845 MHz, 6800 MHz, 207.37 W, 70
1, 1860 MHz, 6800 MHz, 226.41 W, 68
2, 1845 MHz, 6800 MHz, 213.14 W, 72
3, 1830 MHz, 6800 MHz, 219.43 W, 75
0, 1845 MHz, 6800 MHz, 198.30 W, 70
1, 1860 MHz, 6800 MHz, 228.46 W, 68
2, 1830 MHz, 6800 MHz, 211.71 W, 72
3, 1800 MHz, 6800 MHz, 213.33 W, 74
0, 1845 MHz, 6800 MHz, 202.19 W, 70
1, 1860 MHz, 6800 MHz, 223.23 W, 68
2, 1845 MHz, 6800 MHz, 227.43 W, 72
3, 1830 MHz, 6800 MHz, 222.64 W, 75
0, 1845 MHz, 6800 MHz, 191.29 W, 70
1, 1860 MHz, 6800 MHz, 216.74 W, 68
2, 1860 MHz, 6800 MHz, 237.75 W, 72
3, 1800 MHz, 6800 MHz, 221.22 W, 74
0, 1845 MHz, 6800 MHz, 208.44 W, 70
1, 1860 MHz, 6800 MHz, 219.91 W, 68
2, 1845 MHz, 6800 MHz, 231.39 W, 72
3, 1830 MHz, 6800 MHz, 207.48 W, 74
0, 1845 MHz, 6800 MHz, 209.81 W, 70
1, 1860 MHz, 6800 MHz, 223.60 W, 67
2, 1845 MHz, 6800 MHz, 206.55 W, 72
3, 1830 MHz, 6800 MHz, 199.54 W, 75
0, 1845 MHz, 6800 MHz, 206.05 W, 70
1, 1860 MHz, 6800 MHz, 205.52 W, 68
2, 1860 MHz, 6800 MHz, 239.04 W, 72
3, 1830 MHz, 6800 MHz, 225.43 W, 74
0, 1845 MHz, 6800 MHz, 207.40 W, 70
1, 1860 MHz, 6800 MHz, 221.51 W, 67
2, 1845 MHz, 6800 MHz, 226.45 W, 72
