1, 1860 MHz, 6800 MHz, 199.90 W, 68
2, 1860 MHz, 6800 MHz, 200.09 W, 72
3, 1830 MHz, 6800 MHz, 195.47 W, 75
0, 1845 MHz, 6800 MHz, 214.35 W, 70
1, 1860 MHz, 6800 MHz, 241.75 W, 69
2, 1860 MHz, 6800 MHz, 248.34 W, 73
3, 1830 MHz, 6800 MHz, 239.55 W, 76
0, 1845 MHz, 6800 MHz, 216.52 W, 71
1, 1860 MHz, 6800 MHz, 242.13 W, 69
2, 1845 MHz, 6800 MHz, 254.20 W, 73
3, 1830 MHz, 6800 MHz, 242.56 W, 76
0, 1845 MHz, 6800 MHz, 207.55 W, 70
1, 1860 MHz, 6800 MHz, 197.15 W, 68
2, 1860 MHz, 6800 MHz, 203.69 W, 72
3, 1830 MHz, 6800 MHz, 192.25 W, 75
0, 1845 MHz, 6800 MHz, 202.45 W, 71
1, 1860 MHz, 6800 MHz, 241.71 W, 69
2, 1860 MHz, 6800 MHz, 254.35 W, 73
3, 1815 MHz, 6800 MHz, 237.02 W, 76
0, 1845 MHz, 6800 MHz, 216.75 W, 71
1, 1860 MHz, 6800 MHz, 242.23 W, 69
2, 1860 MHz, 6800 MHz, 244.42 W, 73
3, 1815 MHz, 6800 MHz, 234.97 W, 76
0, 1845 MHz, 6800 MHz, 217.28 W, 70
1, 1860 MHz, 6800 MHz, 245.35 W, 68
2, 1845 MHz, 6800 MHz, 254.21 W, 72
3, 1815 MHz, 6800 MHz, 237.62 W, 75
0, 1845 MHz, 6800 MHz, 184.90 W, 71
1, 1860 MHz, 6800 MHz, 218.79 W, 69
2, 1860 MHz, 6800 MHz, 202.75 W, 73
3, 1815 MHz, 6800 MHz, 193.20 W, 75
0, 1845 MHz, 6800 MHz, 214.46 W, 71
1, 1860 MHz, 6800 MHz, 242.53 W, 69
2, 1860 MHz, 6800 MHz, 254.05 W, 73
3, 1815 MHz, 6800 MHz, 235.04 W, 76
0, 1845 MHz, 6800 MHz, 216.77 W, 71
1, 1860 MHz, 6800 MHz, 244.31 W, 69
2, 1860 MHz, 6800 MHz, 255.97 W, 73
3, 1815 MHz, 6800 MHz, 236.74 W, 76
0, 1845 MHz, 6800 MHz, 215.62 W, 71
1, 1860 MHz, 6800 MHz, 244.65 W, 70
2, 1860 MHz, 6800 MHz, 244.91 W, 73
3, 1815 MHz, 6800 MHz, 236.21 W, 76
0, 1845 MHz, 6800 MHz, 211.60 W, 70
1, 1860 MHz, 6800 MHz, 245.39 W, 69
2, 1860 MHz, 6800 MHz, 253.26 W, 72
3, 1815 MHz, 6800 MHz, 235.95 W, 75
0, 1845 MHz, 6800 MHz, 180.01 W, 71
1, 1860 MHz, 6800 MHz, 226.78 W, 69
2, 1860 MHz, 6800 MHz, 204.53 W, 73
3, 1815 MHz, 6800 MHz, 234.91 W, 76
0, 1845 MHz, 6800 MHz, 208.96 W, 71
1, 1860 MHz, 6800 MHz, 245.44 W, 69
2, 1860 MHz, 6800 MHz, 250.01 W, 74
3, 1815 MHz, 6800 MHz, 237.35 W, 76
0, 1845 MHz, 6800 MHz, 217.99 W, 71
1, 1860 MHz, 6800 MHz, 245.09 W, 70
2, 1860 MHz, 6800 MHz, 248.48 W, 74
3, 1815 MHz, 6800 MHz, 238.75 W, 76
0, 1845 MHz, 6800 MHz, 220.61 W, 71
1, 1860 MHz, 6800 MHz, 248.22 W, 70
2, 1860 MHz, 6800 MHz, 244.14 W, 74
3, 1815 MHz, 6800 MHz, 236.85 W, 76
0, 1845 MHz, 6800 MHz, 217.88 W, 71
1, 1860 MHz, 6800 MHz, 245.08 W, 70
2, 1845 MHz, 6800 MHz, 252.77 W, 74
3, 1815 MHz, 6800 MHz, 237.55 W, 76
0, 1845 MHz, 6800 MHz, 219.15 W, 71
1, 1860 MHz, 6800 MHz, 246.74 W, 70
2, 1860 MHz, 6800 MHz, 252.08 W, 74
3, 1815 MHz, 6800 MHz, 236.98 W, 76
0, 1845 MHz, 6800 MHz, 218.64 W, 71
1, 1860 MHz, 6800 MHz, 247.20 W, 69
2, 1845 MHz, 6800 MHz, 245.13 W, 72
3, 1815 MHz, 6800 MHz, 207.91 W, 75
0, 1845 MHz, 6800 MHz, 217.88 W, 72
1, 1860 MHz, 6800 MHz, 248.15 W, 70
2, 1860 MHz, 6800 MHz, 244.31 W, 74
